82115.62	3919109.86
121542.81	3918054.40
164201.10	3905208.66
173224.95	3897277.95
194349.70	3886112.49
201796.08	3884546.85
213374.96	3892256.27
214315.58	3892294.45
216444.16	3892869.47
219762.54	3894756.08
222404.52	3896945.51
225154.85	3900139.35
227193.73	3903873.07
230804.12	3914931.28
231814.84	3918476.52
232266.06	3919798.91
232602.56	3920244.37
234187.25	3920993.49
234882.86	3921080.61
238355.55	3920945.45
242428.43	3920192.53
248283.46	3919024.21
249948.68	3918604.56
250806.11	3917960.59
251532.86	3917075.84
257837.13	3905392.87
263357.71	3895403.89
275832.64	3889672.31
281033.80	3888607.77
283117.15	3887840.66
284413.79	3886845.22
284757.08	3886387.27
285473.85	3884601.08
286022.15	3881601.69
287068.35	3866919.32
286975.71	3866211.75
286643.20	3864993.18
286164.57	3863937.18
285442.27	3863108.52
285305.91	3854792.01
295525.59	3838695.94
296306.48	3837919.52
308440.48	3831661.54
310262.26	3831427.53
313031.21	3831665.63
314480.82	3832557.61
315269.52	3834094.64
315361.63	3834768.00
315234.80	3836271.35
314071.25	3842157.36
314010.51	3843763.79
314877.45	3844433.50
329225.07	3846632.07
339134.60	3842842.03
339636.84	3842627.85
341987.71	3840345.10
342772.94	3839573.07
343652.17	3837062.83
344200.08	3834070.69
344021.90	3832688.49
342927.87	3818105.55
343686.48	3796807.85
344220.59	3794753.81
349877.81	3780496.68
362157.32	3765026.10
364004.83	3762965.33
367998.43	3760161.98
368596.91	3760055.04
371009.80	3760294.64
371643.39	3760456.83
372927.37	3761517.10
373649.59	3762352.27
374540.72	3765301.96
375286.11	3770586.94
377129.54	3771073.17
379210.63	3771200.21
381886.71	3770284.22
386066.12	3768703.03
386726.27	3767763.03
387382.93	3765885.63
388111.91	3765016.06
389285.42	3764803.99
394291.92	3764402.08
396352.47	3764532.33
397471.27	3764986.88
399395.98	3766952.16
400436.39	3769009.88
401467.59	3770296.29
402101.22	3770460.87
405215.50	3770342.55
405748.45	3770134.90
412721.73	3766894.76
413186.86	3766616.23
428015.31	3755315.14
428415.00	3754933.99
428549.36	3754170.86
428990.38	3752522.05
429856.28	3750927.22
430189.31	3750474.78
431634.10	3748743.58
434993.39	3745036.28
439483.05	3743899.25
441305.41	3743660.36
442014.51	3743763.77
442498.95	3744057.51
447865.84	3751098.55
