#lon lat
111.204600457 15.7792422550001
111.196543816 15.775376695
111.19410241 15.7761091170002
111.192881707 15.7782250020001
111.196299675 15.7857119810001
111.199392123 15.7892113300001
111.207530144 15.7892927100001
111.208506707 15.7862816430001
111.207530144 15.7821719420001
111.204600457 15.7792422550001

111.765879754 16.0453148460001
111.763356967 16.0434431010001
111.753103061 16.0446638040001
111.753428582 16.0474307310002
111.761403842 16.0486514340001
111.765879754 16.0453148460001

111.608897332 16.5272484400002
111.606293165 16.5242373720001
111.602793816 16.524644273
111.600108269 16.5272891300001
111.599864129 16.5274925800001
111.600840691 16.531968492
111.602875196 16.5333519550001
111.605723504 16.5335147160001
111.60816491 16.5318057310001
111.609629754 16.528265692
111.608897332 16.5272484400002

111.681651238 16.5801862650001
111.680267774 16.5781517600002
111.678884311 16.5811221370002
111.681651238 16.5801862650001

112.736827019 16.6602237
112.735036655 16.657945054
112.730153842 16.6602237
112.72527103 16.6662051450001
112.726247592 16.669012762
112.728770379 16.6692569030002
112.73340905 16.6660830750001
112.736827019 16.6602237

112.337250196 16.8284365910001
112.333181186 16.825018622
112.32715905 16.8297386740001
112.325938347 16.8332380230001
112.327891472 16.8371035830001
112.330577019 16.8376325540001
112.335459832 16.8325869810002
112.337250196 16.8284365910001

112.341075066 16.9269880230001
112.340505405 16.9235700540001
112.335459832 16.9238141950002
112.333669467 16.9264183610002
112.333669467 16.9332542990001
112.336680535 16.9321149760001
112.337087436 16.9320335960001
112.337575717 16.9313418640001
112.341075066 16.9269880230001

110.685069207 20.153306382
110.710948113 20.0751813820001
110.724457227 20.0638695330001
110.75277754 20.0475121110001
110.774668816 20.020209052
110.788340691 20.0104027360002
110.86988366 19.9970156920001
110.890147332 19.9991722680001
110.893077019 20.0016543640001
110.893809441 20.0043806010001
110.896332227 20.004584052
110.904307488 19.9991722680001
110.92066491 20.0120303410001
110.934580925 19.995062567
110.977061394 19.865871486
110.98316491 19.8077660180002
110.996836785 19.749172268
111.000010613 19.721665757
110.994395379 19.6942813170001
110.996592644 19.6865908870001
111.01050866 19.6837832700001
111.016368035 19.6780459660002
111.034678582 19.6422386740001
111.020355665 19.6359723980001
111.009125196 19.6417503930001
110.993337436 19.6430117860001
110.977305535 19.64077383
110.965830925 19.6359723980001
110.913584832 19.583685614
110.887705925 19.5506045590001
110.876475457 19.5397809920002
110.858653191 19.534816799
110.84278405 19.5399437520001
110.829844597 19.552069403
110.821787957 19.5677757830001
110.818532748 19.5910505230001
110.825694207 19.603257554
110.841156446 19.6079776060001
110.862640821 19.608710028
110.847666863 19.6224632830001
110.826426629 19.621771552
110.806325717 19.6127383480001
110.794444207 19.6012637390001
110.80355879 19.589178778
110.812998894 19.563381252
110.821787957 19.5541039080002
110.80738366 19.5305850280001
110.802500847 19.5174014340001
110.800629102 19.495428778
110.796234571 19.4846052100001
110.785492384 19.471909898
110.77230879 19.461655992
110.760264519 19.457912502
110.760264519 19.4516462260001
110.76449629 19.4408226580001
110.757578972 19.4308942730001
110.7451278 19.4226748720002
110.732432488 19.416937567
110.724375847 19.4159610050001
110.706228061 19.4182803410001
110.6982528 19.416937567
110.694997592 19.411810614
110.685801629 19.3930524760001
110.681488477 19.3889834660002
110.669688347 19.3817406270001
110.67066491 19.3650576840001
110.676036004 19.346747137
110.677907748 19.334377346
110.666026238 19.3197695980001
110.641368035 19.31244538
110.636729363 19.2965355490001
110.632660352 19.2644717470001
110.621592644 19.23065827
110.606293165 19.1998558610001
110.589040561 19.176703192
110.580332879 19.1551781270001
110.575856967 19.1570498720001
110.568614129 19.1630720070001
110.549082879 19.1517601580001
110.544444207 19.1500511740001
110.510101759 19.1500511740001
110.502207879 19.1531436220001
110.496918165 19.159898179
110.490489129 19.166571356
110.47917728 19.169256903
110.47917728 19.1630720070001
110.489756707 19.1529808610001
110.497569207 19.1415469420001
110.507334832 19.1322289080001
110.524180535 19.1283226580001
110.535655144 19.1322289080001
110.541514519 19.1386172550001
110.546234571 19.1398786480001
110.554942254 19.1283226580001
110.556813998 19.120021877
110.554942254 19.0873477230001
110.562347852 19.1023623720001
110.575450066 19.1500511740001
110.582286004 19.1500511740001
110.569997592 19.100897528
110.567230665 19.065578518
110.563243035 19.0556501320001
110.547536655 19.0401878930001
110.530772332 19.018377997
110.518077019 18.9934756530001
110.509938998 18.964341539
110.507090691 18.930324611
110.508067254 18.9221865910001
110.512380405 18.913519598
110.513356967 18.9063988300002
110.509125196 18.8977725280001
110.500010613 18.8957380230001
110.49089603 18.8956566430001
110.486582879 18.8924828150001
110.483897332 18.887193101
110.477712436 18.8852399760001
110.470469597 18.8842634140002
110.465586785 18.8819033870001
110.463145379 18.8751488300001
110.461273634 18.8560244810001
110.458750847 18.848334052
110.454356316 18.8444684920002
110.441091342 18.836493231
110.434580925 18.8303897160001
110.431488477 18.821478583
110.435801629 18.814154364
110.441905144 18.8082542990001
110.445078972 18.8036563170001
110.450938347 18.804999091
110.465017123 18.804510809
110.480804884 18.8009707700001
110.492849155 18.7931175800001
110.500824415 18.802923895
110.502452019 18.8112246770001
110.499685092 18.8375511740001
110.493418816 18.8626162780001
110.493662957 18.8760440120002
110.503428582 18.8819033870001
110.510020379 18.868597723
110.534434441 18.785630601
110.519053582 18.7831078150001
110.507172071 18.7835147160001
110.498545769 18.7816429710001
110.492849155 18.7720401060001
110.486582879 18.7720401060001
110.469004754 18.7771670590001
110.450368686 18.7565371770001
110.42457116 18.7037621110001
110.431000196 18.6924502620002
110.426768425 18.680894273
110.416026238 18.6705589860001
